Locality,Property_Type,Area_sqft,Bedrooms,Bathrooms,Balconies,Floor,Total_Floors,Property_Age,Furnished,Parking,Lift,Power_Backup,Security,Gym,Swimming_Pool,Distance_Metro_km,Distance_School_km,Distance_Hospital_km,Facing,Water_Supply,Latitude,Longitude,Price_Lakhs
Tellapur,Apartment,2306,4,3,0,2,14,14,Unfurnished,0,No,No,No,Yes,No,5.24,6.16,4.1,South-East,12 Hours,17.439254,78.401509,136.92
Boduppal,Independent House,729,1,1,0,0,2,7,Unfurnished,0,Yes,Yes,Yes,No,Yes,8.68,1.98,7.14,North-West,24x7,17.308174,78.559321,28.21
Kismatpur,Apartment,1518,3,2,0,9,10,21,Semi-Furnished,1,Yes,Yes,Yes,Yes,No,12.83,4.92,1.65,East,12 Hours,17.35118,78.399412,80.36
Nacharam,Apartment,1549,3,2,3,3,16,13,Semi-Furnished,2,No,Yes,No,Yes,No,9.43,7.38,7.86,South-West,12 Hours,17.350037,78.532621,79.62
Kapra,Villa,1288,3,3,3,7,8,18,Fully Furnished,2,No,No,Yes,No,No,3.14,1.93,8.08,North-West,12 Hours,17.462443,78.481143,67.52
Malkajgiri,Apartment,1787,4,4,3,7,16,22,Semi-Furnished,2,No,No,Yes,Yes,No,3.71,5.63,3.41,North-West,12 Hours,17.427649,78.538857,81.37
Vanasthalipuram,Apartment,1538,3,3,3,4,9,8,Unfurnished,0,Yes,No,Yes,Yes,Yes,3.64,4.03,7.38,North-East,24x7,17.439193,78.485459,75.02
Quthbullapur,Apartment,1212,2,2,1,0,2,17,Semi-Furnished,2,Yes,No,Yes,Yes,No,7.31,3.69,2.25,East,12 Hours,17.370508,78.391784,50.37
Khajaguda,Apartment,1790,3,2,1,4,5,9,Unfurnished,0,Yes,No,Yes,No,No,13.67,2.59,6.09,South-East,12 Hours,17.291286,78.513982,127.51
Adibatla,Apartment,1412,3,3,2,1,3,7,Unfurnished,2,Yes,Yes,Yes,No,No,10.5,3.92,0.81,North-East,Limited,17.386714,78.568213,43.11
Nagole,Apartment,2506,4,4,3,4,4,7,Fully Furnished,0,No,Yes,Yes,Yes,Yes,11.99,4.88,8.33,North-East,12 Hours,17.367077,78.53781,121.17
Pocharam,Apartment,989,2,3,1,0,3,13,Fully Furnished,1,No,Yes,Yes,Yes,Yes,14.99,5.48,3.06,East,24x7,17.300396,78.44465,50.01
Kothapet,Apartment,1149,2,3,2,2,16,15,Semi-Furnished,1,No,No,Yes,Yes,No,6.47,4.12,6.79,South-East,Limited,17.47094,78.548324,60.08
Nagole,Apartment,1245,2,3,2,1,1,13,Unfurnished,0,No,No,No,Yes,Yes,4.37,1.31,3.24,South-West,24x7,17.459292,78.547434,57.2
Tukkuguda,Independent House,1518,3,2,3,1,3,3,Semi-Furnished,0,Yes,No,No,No,No,12.6,7.85,2.82,North,12 Hours,17.463512,78.494568,68.21
Bandlaguda Jagir,Independent House,885,2,2,1,8,11,8,Unfurnished,1,No,No,Yes,No,No,5.5,4.55,5.66,South-West,12 Hours,17.464218,78.450301,48.22
Alwal,Apartment,1620,3,2,2,12,16,12,Fully Furnished,2,Yes,No,Yes,Yes,No,13.11,7.03,4.68,South-West,24x7,17.330587,78.472122,84.08
Habsiguda,Builder Floor,685,1,1,1,2,3,21,Fully Furnished,1,No,No,Yes,Yes,Yes,9.65,7.39,9.98,West,12 Hours,17.457146,78.38809,41.0
Maheshwaram,Apartment,1229,3,2,2,1,2,11,Semi-Furnished,1,Yes,Yes,No,Yes,Yes,3.04,4.99,4.13,South,12 Hours,17.368482,78.431122,37.38
Kollur,Apartment,980,2,1,1,10,10,17,Unfurnished,0,No,No,No,No,No,7.12,2.63,9.99,South-West,24x7,17.352523,78.575282,38.64
Tolichowki,Apartment,1208,2,2,0,4,13,0,Fully Furnished,2,Yes,No,No,Yes,No,3.68,1.76,2.88,North,Limited,17.388758,78.527304,71.32
Tukkuguda,Apartment,1234,3,3,1,2,3,10,Fully Furnished,1,Yes,Yes,Yes,No,No,12.54,2.28,8.33,South-West,12 Hours,17.479356,78.579189,54.04
Khajaguda,Builder Floor,965,2,3,2,1,12,25,Semi-Furnished,0,No,Yes,No,No,No,8.98,6.63,9.43,West,Limited,17.38445,78.446876,57.29
Boduppal,Apartment,2035,4,4,0,9,15,20,Semi-Furnished,0,Yes,Yes,Yes,No,No,2.18,2.11,5.61,South-East,12 Hours,17.292377,78.508613,66.7
Bollaram,Builder Floor,1230,2,2,1,3,4,19,Semi-Furnished,1,Yes,No,Yes,No,No,14.28,6.89,1.44,North-West,Limited,17.295296,78.442429,51.16
Nampally,Apartment,912,2,3,0,0,7,1,Semi-Furnished,0,Yes,Yes,Yes,Yes,Yes,12.29,2.09,7.86,East,12 Hours,17.332912,78.415679,47.71
Tellapur,Apartment,1188,2,1,0,1,1,25,Unfurnished,2,No,Yes,Yes,No,Yes,2.34,3.54,1.58,West,12 Hours,17.48213,78.435111,67.34
Masab Tank,Apartment,963,2,1,2,9,17,14,Fully Furnished,0,Yes,No,No,No,Yes,7.61,7.3,1.2,West,12 Hours,17.437324,78.434228,64.22
Kollur,Apartment,1799,3,3,3,16,20,9,Semi-Furnished,2,No,Yes,Yes,Yes,No,7.05,2.06,3.72,South-West,12 Hours,17.358557,78.513161,77.14
Narsingi,Apartment,1583,3,3,3,0,3,2,Unfurnished,1,Yes,No,Yes,Yes,No,10.22,3.46,8.8,South-East,Limited,17.392155,78.404758,98.23
Bandlaguda Jagir,Apartment,1417,3,3,3,1,8,11,Fully Furnished,1,Yes,No,Yes,No,Yes,9.33,5.37,7.09,East,24x7,17.349156,78.424004,72.13
Ameerpet,Apartment,623,1,2,0,5,5,20,Unfurnished,0,Yes,No,No,No,No,2.78,2.7,3.58,West,24x7,17.403179,78.522213,40.6
Kothaguda,Apartment,1478,3,4,3,14,16,13,Semi-Furnished,0,Yes,No,No,Yes,No,10.33,4.87,5.51,North-East,24x7,17.387419,78.431999,111.83
Lakdikapul,Apartment,958,2,2,1,5,10,3,Unfurnished,1,No,Yes,Yes,No,Yes,7.75,6.72,8.16,West,12 Hours,17.319873,78.524888,67.47
Mallapur,Apartment,710,1,2,1,4,14,3,Semi-Furnished,0,No,Yes,No,No,Yes,6.83,1.12,4.64,South-East,Limited,17.472346,78.414204,28.37
Lakdikapul,Apartment,1020,2,2,0,3,17,16,Fully Furnished,0,No,No,Yes,Yes,Yes,2.62,1.82,6.22,West,24x7,17.307695,78.571639,75.11
Ramanthapur,Independent House,1659,3,3,2,3,5,2,Semi-Furnished,1,No,No,Yes,No,Yes,5.0,3.78,1.04,North-East,24x7,17.336588,78.518697,100.42
Manikonda,Apartment,1147,2,1,1,6,19,10,Fully Furnished,1,Yes,Yes,No,Yes,No,14.74,0.95,6.64,East,24x7,17.39604,78.49263,79.94
Vanasthalipuram,Apartment,994,2,3,1,10,11,19,Unfurnished,2,No,Yes,No,Yes,No,4.62,5.87,6.74,North,12 Hours,17.303621,78.566143,45.26
Balapur,Villa,1185,2,3,0,2,20,9,Fully Furnished,1,No,Yes,Yes,No,No,0.76,2.68,9.54,North-West,12 Hours,17.41162,78.454506,50.09
Osman Nagar,Apartment,1303,3,2,2,4,20,19,Semi-Furnished,0,Yes,Yes,Yes,No,Yes,6.46,5.51,2.76,South-West,Limited,17.430191,78.566122,56.95
Safilguda,Apartment,1264,2,3,0,10,12,18,Semi-Furnished,1,No,No,No,Yes,Yes,12.12,1.37,2.88,South-West,12 Hours,17.440975,78.515106,55.67
Puppalaguda,Independent House,1491,3,2,1,7,9,16,Unfurnished,1,Yes,Yes,No,No,Yes,6.52,3.35,4.05,South-East,24x7,17.317326,78.566411,104.03
Kompally,Apartment,1215,2,2,0,0,5,9,Semi-Furnished,2,Yes,No,No,Yes,Yes,0.78,1.96,1.92,South-East,24x7,17.286839,78.406994,61.99
Begumpet,Apartment,1256,2,3,0,3,4,19,Fully Furnished,0,Yes,Yes,No,No,Yes,9.41,2.15,4.46,West,Limited,17.286012,78.418862,83.89
Kokapet,Apartment,1719,3,2,3,1,16,20,Semi-Furnished,1,No,Yes,No,Yes,No,4.0,5.36,1.48,North-West,24x7,17.423379,78.517092,142.42
Saroornagar,Independent House,1248,2,3,2,5,16,25,Unfurnished,0,No,Yes,No,Yes,Yes,11.97,7.12,3.5,North-East,Limited,17.427436,78.43415,55.57
Saroornagar,Apartment,1395,3,3,2,2,2,10,Semi-Furnished,0,No,No,No,No,No,5.42,1.74,7.07,North-West,Limited,17.434298,78.516627,65.89
Kondapur,Apartment,1384,3,3,2,0,4,10,Fully Furnished,1,No,No,No,Yes,No,5.6,0.63,8.77,North-West,Limited,17.416523,78.500362,117.54
Maheshwaram,Apartment,1572,3,3,0,4,5,21,Semi-Furnished,0,Yes,Yes,Yes,No,No,6.05,4.67,6.25,South-West,12 Hours,17.358543,78.43974,40.41
Neredmet,Apartment,1607,3,3,2,1,8,0,Fully Furnished,0,No,No,Yes,No,No,10.71,1.95,6.31,South-West,24x7,17.479602,78.46532,70.41
Osman Nagar,Apartment,2155,4,3,2,11,12,2,Fully Furnished,2,No,No,Yes,Yes,No,7.88,1.23,2.41,North,24x7,17.411228,78.545662,114.68
Hitech City,Apartment,1261,2,2,2,0,3,9,Semi-Furnished,2,No,No,No,Yes,Yes,14.6,5.25,4.77,North-West,24x7,17.400381,78.485204,130.16
Rajendra Nagar,Independent House,1107,2,1,0,4,17,9,Unfurnished,0,No,Yes,No,No,Yes,4.13,5.19,5.73,North,Limited,17.42949,78.442854,47.91
Shamshabad,Apartment,1806,3,3,1,19,20,10,Fully Furnished,0,Yes,Yes,Yes,No,Yes,11.62,3.51,6.57,South-West,Limited,17.414094,78.422122,79.47
Quthbullapur,Builder Floor,1615,3,3,3,0,3,5,Semi-Furnished,1,No,No,Yes,No,Yes,5.03,5.83,7.47,North-West,12 Hours,17.475786,78.569673,91.43
Mehdipatnam,Apartment,1088,2,1,1,7,15,4,Unfurnished,0,No,No,No,Yes,Yes,12.3,7.49,7.35,South,24x7,17.288091,78.572364,66.68
Dilsukhnagar,Apartment,861,2,1,1,14,17,7,Unfurnished,2,No,Yes,Yes,No,No,9.16,6.79,6.89,North-East,Limited,17.478331,78.579424,45.55
Puppalaguda,Apartment,1037,2,3,1,1,2,1,Fully Furnished,2,Yes,No,No,Yes,No,7.81,6.19,3.16,West,24x7,17.34389,78.46372,75.9
Lakdikapul,Independent House,1037,2,2,0,16,20,12,Fully Furnished,0,Yes,Yes,Yes,No,No,8.03,1.45,8.98,North,12 Hours,17.348384,78.420599,72.9
Punjagutta,Apartment,1506,3,3,3,9,19,15,Unfurnished,1,No,Yes,No,No,Yes,9.16,2.34,6.73,South,Limited,17.472231,78.525906,99.67
Balapur,Apartment,1834,3,4,1,0,8,18,Fully Furnished,0,Yes,Yes,No,No,No,2.7,5.62,4.4,South-West,Limited,17.304435,78.509701,69.54
Osman Nagar,Apartment,1189,2,3,2,5,13,5,Semi-Furnished,2,No,No,No,No,Yes,14.38,2.45,3.34,North-East,12 Hours,17.313017,78.490366,72.12
Ghatkesar,Apartment,1480,3,3,0,17,19,12,Semi-Furnished,1,Yes,No,Yes,No,Yes,5.52,3.71,2.94,South-West,24x7,17.433154,78.526103,56.86
Hayathnagar,Builder Floor,1340,3,2,1,0,8,21,Fully Furnished,0,Yes,Yes,Yes,No,No,10.9,1.07,7.82,East,Limited,17.356898,78.445418,48.98
Habsiguda,Builder Floor,2188,4,4,2,4,11,20,Unfurnished,0,Yes,Yes,Yes,No,Yes,14.04,0.58,8.44,South-West,24x7,17.447023,78.560114,130.48
Madhapur,Apartment,1543,3,3,3,16,18,15,Unfurnished,2,No,No,Yes,Yes,No,2.86,3.83,2.94,North,24x7,17.387268,78.487003,127.21
Meerpet,Apartment,1615,3,4,2,3,3,21,Unfurnished,0,Yes,No,No,Yes,Yes,4.28,2.11,7.66,North-West,12 Hours,17.414993,78.527093,58.91
Badangpet,Apartment,970,2,1,2,3,4,9,Unfurnished,1,No,Yes,No,No,Yes,3.68,1.33,1.96,North-West,12 Hours,17.463001,78.454299,32.0
Boduppal,Independent House,1453,3,2,3,11,17,2,Fully Furnished,0,Yes,Yes,Yes,Yes,No,12.89,3.7,6.96,South-West,24x7,17.303796,78.502356,78.49
Safilguda,Apartment,1667,3,2,3,0,10,12,Semi-Furnished,0,Yes,Yes,Yes,No,No,10.66,4.47,1.07,West,12 Hours,17.37812,78.495229,64.4
Old Alwal,Apartment,1178,2,3,1,7,13,12,Semi-Furnished,0,Yes,No,Yes,Yes,No,8.17,5.9,2.62,East,24x7,17.403167,78.3928,53.71
Pocharam,Independent House,1044,2,2,0,11,15,4,Semi-Furnished,0,Yes,Yes,No,Yes,Yes,3.49,1.08,0.82,East,24x7,17.44952,78.458738,57.11
Uppal,Apartment,1292,2,1,0,9,17,7,Fully Furnished,2,No,No,Yes,No,Yes,14.79,4.31,4.43,North-East,24x7,17.389449,78.540699,69.05
Rajendra Nagar,Apartment,1103,2,1,1,12,13,16,Semi-Furnished,2,No,No,Yes,No,No,3.17,4.44,2.79,South,12 Hours,17.409578,78.403769,44.36
Pocharam,Apartment,2270,4,4,3,4,8,6,Semi-Furnished,2,Yes,No,No,Yes,Yes,1.25,3.2,6.25,East,24x7,17.391271,78.494827,86.02
Rajendra Nagar,Apartment,956,2,2,1,0,1,6,Fully Furnished,0,No,Yes,Yes,No,Yes,8.51,6.27,4.12,North-West,12 Hours,17.430218,78.58187,55.96
Masab Tank,Villa,1261,2,3,1,5,7,10,Semi-Furnished,0,Yes,Yes,Yes,No,No,4.78,1.81,2.69,South,12 Hours,17.349591,78.545737,93.98
Beeramguda,Apartment,1700,3,4,3,5,6,25,Semi-Furnished,0,Yes,No,Yes,Yes,Yes,12.67,0.87,8.27,East,24x7,17.372794,78.402391,70.01
Osman Nagar,Apartment,1209,3,3,3,0,12,19,Fully Furnished,2,No,No,Yes,Yes,No,0.67,4.38,3.11,North-East,24x7,17.47753,78.553896,69.83
Isnapur,Independent House,1809,4,3,1,3,8,19,Fully Furnished,1,No,No,No,Yes,No,14.41,3.83,2.81,South,12 Hours,17.366791,78.421359,69.59
Kondapur,Apartment,1132,2,3,0,0,1,2,Semi-Furnished,1,No,Yes,Yes,Yes,Yes,13.57,5.63,5.88,North-East,24x7,17.335049,78.496545,79.85
Malkajgiri,Apartment,711,1,1,0,4,19,24,Fully Furnished,1,Yes,No,Yes,Yes,No,10.32,4.46,4.15,North,Limited,17.417039,78.442687,33.68
LB Nagar,Apartment,1279,2,1,1,19,20,19,Semi-Furnished,1,Yes,No,No,No,Yes,5.66,7.55,4.6,South-East,24x7,17.432579,78.497571,62.95
Quthbullapur,Independent House,928,2,3,2,5,5,12,Semi-Furnished,1,Yes,Yes,Yes,No,No,5.72,2.38,1.76,North,12 Hours,17.36892,78.436246,43.39
Champapet,Apartment,895,2,2,2,2,3,12,Unfurnished,1,No,No,Yes,Yes,Yes,10.44,1.61,3.05,North-East,12 Hours,17.436569,78.389579,42.89
Kokapet,Apartment,1097,2,1,1,3,9,23,Fully Furnished,1,Yes,No,Yes,Yes,No,0.6,3.35,8.5,South-East,12 Hours,17.294201,78.394846,74.94
Beeramguda,Apartment,1205,2,2,1,2,11,12,Semi-Furnished,1,No,Yes,No,No,No,12.34,3.33,1.58,South,Limited,17.425732,78.481535,49.78
Madinaguda,Independent House,786,1,1,1,1,10,25,Semi-Furnished,2,No,Yes,No,Yes,No,10.05,5.81,8.0,West,12 Hours,17.383323,78.481394,47.01
Peerzadiguda,Apartment,1628,3,2,2,2,18,3,Unfurnished,2,No,Yes,Yes,No,No,14.5,3.61,0.6,North-East,24x7,17.37177,78.466401,78.56
Kothapet,Apartment,1656,3,3,3,4,15,11,Unfurnished,1,Yes,No,No,Yes,Yes,12.55,5.92,3.81,North-West,12 Hours,17.412019,78.395761,92.77
Kothapet,Apartment,1219,2,3,1,2,3,1,Fully Furnished,0,Yes,No,Yes,Yes,Yes,7.98,4.55,3.64,South-East,12 Hours,17.410172,78.487327,72.47
Uppal,Apartment,1642,3,4,0,6,20,14,Fully Furnished,1,No,Yes,Yes,Yes,No,11.41,6.53,1.09,West,Limited,17.416739,78.419287,91.53
Masab Tank,Apartment,1193,2,3,2,9,11,12,Fully Furnished,1,Yes,No,No,No,Yes,12.3,5.74,3.33,West,Limited,17.413484,78.392002,69.25
Punjagutta,Apartment,1041,2,2,2,6,13,19,Unfurnished,2,No,No,Yes,No,Yes,8.55,4.07,1.83,North-West,12 Hours,17.473046,78.501795,68.93
Financial District,Builder Floor,1399,3,4,3,10,14,15,Semi-Furnished,2,No,No,Yes,Yes,Yes,12.04,2.0,0.81,South,Limited,17.413658,78.478351,123.35
Hafeezpet,Apartment,1707,3,2,0,8,9,11,Fully Furnished,0,No,Yes,No,Yes,Yes,4.82,7.99,4.77,North-West,24x7,17.473293,78.463921,117.76
Neknampur,Apartment,1559,3,4,1,4,20,25,Unfurnished,0,Yes,No,No,Yes,No,14.7,2.55,5.94,West,24x7,17.46607,78.425858,79.12
Nanakramguda,Villa,1293,2,2,0,5,5,10,Unfurnished,2,No,No,Yes,No,No,5.94,0.88,8.05,West,12 Hours,17.305156,78.390344,114.34
Malkajgiri,Builder Floor,1099,2,2,2,0,1,23,Semi-Furnished,2,No,Yes,No,Yes,No,12.46,4.11,3.57,North-East,12 Hours,17.421601,78.400938,54.41
Badangpet,Apartment,1551,3,2,0,3,4,0,Unfurnished,0,No,No,Yes,No,Yes,14.94,7.3,8.88,North-East,24x7,17.453975,78.391354,56.04
Manikonda,Apartment,1190,2,2,0,10,13,9,Fully Furnished,2,Yes,No,Yes,Yes,Yes,3.59,0.9,6.14,South-West,24x7,17.341371,78.410333,86.2
Himayat Nagar,Apartment,2410,4,4,3,1,3,12,Unfurnished,2,Yes,Yes,No,No,No,2.49,6.26,7.65,North,Limited,17.410789,78.562194,191.88
Kollur,Apartment,634,1,2,1,2,7,13,Fully Furnished,2,No,Yes,Yes,Yes,Yes,11.41,4.84,4.15,South-East,12 Hours,17.445696,78.443107,27.88
Bowenpally,Apartment,1157,2,2,2,1,1,6,Fully Furnished,2,Yes,No,No,Yes,Yes,7.68,1.17,5.25,West,Limited,17.435123,78.548067,59.12
Masab Tank,Apartment,1279,2,3,1,5,18,24,Semi-Furnished,0,Yes,Yes,Yes,No,Yes,1.08,0.77,8.0,North-East,Limited,17.367524,78.461104,93.01
Tarnaka,Independent House,1124,2,2,1,2,3,2,Fully Furnished,0,Yes,No,No,Yes,No,10.63,5.92,8.54,East,24x7,17.353161,78.572851,79.79
Mallapur,Apartment,1516,3,3,0,0,1,22,Unfurnished,0,No,No,No,Yes,No,2.34,6.31,3.05,West,24x7,17.370799,78.536874,60.69
Nacharam,Apartment,1145,2,1,1,11,15,1,Semi-Furnished,2,Yes,No,Yes,No,Yes,13.47,5.49,1.6,East,24x7,17.305625,78.567211,59.91
Bowenpally,Apartment,926,2,2,0,13,18,7,Semi-Furnished,0,No,No,No,Yes,No,2.23,5.48,1.0,South,Limited,17.450291,78.45071,41.98
Uppal,Villa,2492,4,4,2,3,3,0,Semi-Furnished,0,No,No,Yes,No,No,9.08,4.1,7.84,South,Limited,17.36284,78.388868,129.23
Bowenpally,Apartment,969,2,2,2,1,1,0,Fully Furnished,1,No,Yes,Yes,Yes,No,7.63,0.76,9.97,North-East,24x7,17.303257,78.450563,55.66
Suchitra,Apartment,2169,4,3,0,4,17,20,Semi-Furnished,0,Yes,No,Yes,Yes,No,4.28,2.73,8.11,North-West,12 Hours,17.475121,78.501388,106.15
Kapra,Apartment,1249,2,1,0,1,4,14,Semi-Furnished,1,No,Yes,No,Yes,No,4.97,2.34,1.64,North,Limited,17.374689,78.445342,53.44
Kismatpur,Apartment,1351,3,2,1,6,12,16,Unfurnished,2,No,No,Yes,Yes,No,12.89,4.58,5.73,West,12 Hours,17.419504,78.537175,50.98
Osman Nagar,Apartment,1427,3,3,1,5,13,21,Fully Furnished,2,Yes,No,Yes,Yes,Yes,3.37,5.27,8.19,West,12 Hours,17.442924,78.404941,68.59
Gachibowli,Apartment,2143,4,5,3,1,1,21,Semi-Furnished,0,No,Yes,Yes,No,No,6.97,1.44,6.33,South,Limited,17.296512,78.496606,177.37
Habsiguda,Apartment,1046,2,2,1,3,7,20,Fully Furnished,0,No,No,No,No,No,13.73,4.17,4.19,North,24x7,17.462541,78.456883,55.15
Bandlaguda Jagir,Apartment,1487,3,2,3,11,17,24,Fully Furnished,0,Yes,Yes,Yes,Yes,No,8.24,6.39,7.5,South,Limited,17.313598,78.539002,57.71
Nampally,Independent House,1380,3,3,2,9,12,0,Fully Furnished,2,No,Yes,Yes,No,No,3.05,0.59,1.03,South,24x7,17.305225,78.403521,111.06
Peerzadiguda,Apartment,1333,3,3,1,0,11,0,Unfurnished,2,Yes,Yes,No,Yes,No,10.72,5.4,6.07,North-West,12 Hours,17.299553,78.551072,50.03
Osman Nagar,Independent House,1177,2,3,2,2,11,22,Fully Furnished,2,No,Yes,Yes,No,No,11.14,2.57,2.19,East,Limited,17.30127,78.403668,58.12
Lakdikapul,Builder Floor,1733,4,4,2,7,20,20,Fully Furnished,0,No,Yes,No,Yes,Yes,5.53,2.76,6.54,West,Limited,17.359854,78.460828,126.42
Maheshwaram,Apartment,977,2,1,1,1,9,23,Unfurnished,0,No,No,No,Yes,No,7.65,3.22,5.69,West,12 Hours,17.47445,78.5839,30.59
Beeramguda,Apartment,1259,2,1,1,1,1,8,Unfurnished,0,No,Yes,No,Yes,Yes,8.43,7.22,1.38,South-West,Limited,17.360252,78.4034,55.21
Mallapur,Apartment,1860,4,3,0,3,11,6,Semi-Furnished,2,No,No,No,Yes,Yes,1.22,4.7,8.48,North,24x7,17.396681,78.471544,109.69
Nacharam,Apartment,1814,3,4,1,0,4,6,Unfurnished,2,No,Yes,No,Yes,No,11.88,3.93,9.0,North-East,24x7,17.307239,78.485225,81.52
Saroornagar,Apartment,2078,4,4,3,1,2,14,Semi-Furnished,1,Yes,No,Yes,Yes,Yes,1.74,2.95,5.64,South,Limited,17.378732,78.397961,96.83
Attapur,Apartment,1686,3,3,3,1,10,12,Fully Furnished,0,Yes,Yes,No,Yes,Yes,14.6,6.53,1.7,South-East,24x7,17.308505,78.516542,95.29
Mallapur,Builder Floor,1809,3,3,2,0,3,12,Fully Furnished,1,No,No,No,Yes,No,2.13,1.45,5.88,West,24x7,17.401674,78.579135,87.13
Narsingi,Apartment,1552,3,4,2,10,13,15,Fully Furnished,2,No,Yes,Yes,No,No,2.59,4.99,7.09,East,12 Hours,17.342142,78.56042,111.59
Alwal,Independent House,2081,4,3,2,4,10,8,Semi-Furnished,2,Yes,Yes,Yes,No,No,11.72,2.77,7.42,West,24x7,17.477645,78.389131,93.26
Nizampet,Independent House,1582,3,2,1,2,3,22,Fully Furnished,1,Yes,Yes,Yes,Yes,Yes,12.64,2.22,4.84,North-West,Limited,17.293632,78.564929,90.41
Malkajgiri,Independent House,1850,3,2,0,5,8,15,Fully Furnished,1,Yes,No,No,No,Yes,12.65,2.29,8.39,West,12 Hours,17.483593,78.401459,94.7
